日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-14,23.4,23.41,24.08,23.36,41494.0,100788853.0,3.05,-0.81,-0.19,0.79
2025-11-17,23.41,22.48,23.41,22.3,73964.0,171039259.0,4.74,-3.97,-0.93,1.41
2025-11-18,22.5,22.13,22.68,21.86,55227.0,125672688.0,3.65,-1.56,-0.35,1.05
2025-11-19,21.98,22.11,22.22,21.95,34235.0,77569885.0,1.22,-0.09,-0.02,0.65
2025-11-20,22.15,22.11,22.33,21.96,20205.0,45813031.0,1.67,0.0,0.0,0.38
2025-11-21,21.99,21.51,22.18,21.4,36062.0,80342183.0,3.53,-2.71,-0.6,0.69
2025-11-24,21.53,21.64,21.76,21.47,27691.0,61414551.0,1.35,0.6,0.13,0.53
2025-11-25,21.73,21.5,21.97,21.47,36606.0,81505727.0,2.31,-0.65,-0.14,0.7
2025-11-26,21.46,21.76,21.98,21.45,37938.0,84798549.0,2.47,1.21,0.26,0.72
2025-11-27,21.77,21.76,21.9,21.53,23184.0,51735039.0,1.7,0.0,0.0,0.44
2025-11-28,22.03,21.75,22.12,21.4,36327.0,80678304.0,3.31,-0.05,-0.01,0.69
2025-12-01,21.74,21.92,21.96,21.58,36133.0,80782223.0,1.75,0.78,0.17,0.69
2025-12-02,21.75,21.81,21.83,21.6,26316.0,58577599.0,1.05,-0.5,-0.11,0.5
2025-12-03,21.78,21.88,22.08,21.58,40420.0,90617232.0,2.29,0.32,0.07,0.77
2025-12-04,21.86,21.49,21.91,21.4,28894.0,63909042.0,2.33,-1.78,-0.39,0.55
2025-12-05,21.56,22.08,22.13,21.31,39135.0,87353774.0,3.82,2.75,0.59,0.74
2025-12-08,22.08,21.86,22.18,21.83,31050.0,69893709.0,1.59,-1.0,-0.22,0.59
2025-12-09,21.8,21.86,22.38,21.79,41487.0,94123960.0,2.7,0.0,0.0,0.79
2025-12-10,21.88,22.87,23.11,21.88,100369.0,233443989.0,5.63,4.62,1.01,1.91
2025-12-11,23.0,22.5,23.13,22.34,59689.0,138666513.0,3.45,-1.62,-0.37,1.14
2025-12-12,22.45,22.22,22.53,21.98,49756.0,112964954.0,2.44,-1.24,-0.28,0.95
2025-12-15,22.14,21.94,22.33,21.93,29526.0,66820349.0,1.8,-1.26,-0.28,0.56
2025-12-16,22.1,21.58,22.21,21.51,32433.0,72301900.0,3.19,-1.64,-0.36,0.62
2025-12-17,21.57,21.9,22.08,21.51,34331.0,76907630.0,2.64,1.48,0.32,0.65
2025-12-18,21.85,22.63,22.79,21.82,58224.0,134283259.0,4.43,3.33,0.73,1.11
2025-12-19,22.53,22.8,23.2,22.23,60305.0,140514174.0,4.29,0.75,0.17,1.15
2025-12-22,22.64,22.65,22.93,22.31,35666.0,82654848.0,2.72,-0.66,-0.15,0.68
2025-12-23,22.56,22.88,23.2,22.56,45330.0,106542183.0,2.83,1.02,0.23,0.86
2025-12-24,22.84,22.95,23.08,22.72,29463.0,69055641.0,1.57,0.31,0.07,0.56
2025-12-25,22.91,23.65,24.12,22.85,74500.0,180366524.0,5.53,3.05,0.7,1.42
2025-12-26,23.64,23.36,23.68,23.16,45235.0,108444688.0,2.2,-1.23,-0.29,0.86
2025-12-29,23.35,22.87,23.35,22.73,32989.0,77333992.0,2.65,-2.1,-0.49,0.63
