date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2025-12-01,003816,3.77,3.79,3.81,3.74,1219006,460006891.01,1.86,0.53,0.02,0.31
2025-12-02,003816,3.79,3.8,3.83,3.78,938907,356935910.96,1.32,0.26,0.01,0.24
2025-12-03,003816,3.8,3.85,3.89,3.79,1555933,598126568.06,2.63,1.32,0.05,0.4
2025-12-04,003816,3.85,3.83,3.87,3.81,937954,360242113.4,1.56,-0.52,-0.02,0.24
2025-12-05,003816,3.83,3.85,3.86,3.82,1028660,394944605.0,1.04,0.52,0.02,0.26
2025-12-08,003816,3.86,3.8,3.88,3.8,1295112,495739725.0,2.08,-1.3,-0.05,0.33
2025-12-09,003816,3.81,3.79,3.85,3.78,1274983,485326320.77,1.84,-0.26,-0.01,0.32
2025-12-10,003816,3.79,3.81,3.83,3.78,949063,361336185.33,1.32,0.53,0.02,0.24
2025-12-11,003816,3.81,3.79,3.84,3.79,976411,372738426.88,1.31,-0.52,-0.02,0.25
2025-12-12,003816,3.8,3.85,3.86,3.78,1371425,525215714.14,2.11,1.58,0.06,0.35
2025-12-15,003816,3.86,3.87,3.88,3.84,1229221,475030279.72,1.04,0.52,0.02,0.31
2025-12-16,003816,3.87,3.83,3.88,3.81,1198270,459135266.73,1.81,-1.03,-0.04,0.3
2025-12-17,003816,3.83,3.83,3.85,3.79,1087573,414709258.68,1.57,0.0,0.0,0.28
2025-12-18,003816,3.82,3.83,3.85,3.8,688058,263420069.55,1.31,0.0,0.0,0.17
2025-12-19,003816,3.84,3.85,3.86,3.83,718968,276663117.28,0.78,0.52,0.02,0.18
2025-12-22,003816,3.85,3.84,3.86,3.83,859984,330697152.41,0.78,-0.26,-0.01,0.22
2025-12-23,003816,3.84,3.82,3.87,3.81,950503,364839027.38,1.56,-0.52,-0.02,0.24
2025-12-24,003816,3.82,3.84,3.85,3.81,858054,328601228.48,1.05,0.52,0.02,0.22
2025-12-25,003816,3.84,3.85,3.9,3.84,1347762,522247861.1,1.56,0.26,0.01,0.34
2025-12-26,003816,3.86,3.86,3.87,3.84,835100,322192468.78,0.78,0.26,0.01,0.21
2025-12-29,003816,3.86,3.82,3.87,3.81,1144428,438254997.7,1.55,-1.04,-0.04,0.29
2025-12-30,003816,3.81,3.76,3.82,3.75,1753258,660610651.14,1.83,-1.57,-0.06,0.45
2025-12-31,003816,3.76,3.76,3.77,3.75,753739,283211372.25,0.53,0.0,0.0,0.19
2026-01-05,003816,3.76,3.77,3.78,3.75,1054647,397106392.71,0.8,0.27,0.01,0.27
2026-01-06,003816,3.78,3.82,3.82,3.77,1333264,506616848.64,1.33,1.33,0.05,0.34
2026-01-07,003816,3.82,3.85,3.89,3.81,1363869,525959411.86,2.09,0.79,0.03,0.35
2026-01-08,003816,3.85,3.93,3.95,3.84,1707537,667153390.26,2.86,2.08,0.08,0.43
2026-01-09,003816,3.93,3.9,3.93,3.88,1358246,529660336.48,1.27,-0.76,-0.03,0.35
2026-01-12,003816,3.9,3.92,3.95,3.87,1703152,666257577.76,2.05,0.51,0.02,0.43
2026-01-13,003816,3.93,3.88,3.94,3.87,1692818,660209893.95,1.79,-1.02,-0.04,0.43
2026-01-14,003816,3.88,3.85,3.9,3.84,1526272,591150604.72,1.55,-0.77,-0.03,0.39
2026-01-15,003816,3.84,3.83,3.86,3.82,1068807,409840058.9,1.04,-0.52,-0.02,0.27
2026-01-16,003816,3.84,3.85,3.91,3.83,1598532,617781382.34,2.09,0.52,0.02,0.41
2026-01-19,003816,3.85,3.88,3.9,3.83,1370437,531685964.0,1.82,0.78,0.03,0.35
2026-01-20,003816,3.88,3.94,3.94,3.88,2014055,789312768.51,1.55,1.55,0.06,0.51
2026-01-21,003816,3.93,3.88,3.95,3.88,1468946,572759999.9,1.78,-1.52,-0.06,0.37
2026-01-22,003816,3.9,3.91,3.97,3.89,1771091,695179819.24,2.06,0.77,0.03,0.45
2026-01-23,003816,3.91,3.88,3.92,3.87,1518196,589436244.02,1.28,-0.77,-0.03,0.39
2026-01-26,003816,3.88,3.9,3.92,3.85,1699246,660650283.34,1.8,0.52,0.02,0.43
2026-01-27,003816,3.89,3.84,3.89,3.83,1612014,620760643.84,1.54,-1.54,-0.06,0.41
2026-01-28,003816,3.84,3.86,3.88,3.82,1576729,607861026.63,1.56,0.52,0.02,0.4
2026-01-29,003816,3.86,3.85,3.86,3.78,1979135,755666250.18,2.07,-0.26,-0.01,0.5
2026-01-30,003816,3.85,3.85,3.88,3.82,1418131,547045888.12,1.56,0.0,0.0,0.36
2026-02-02,003816,3.87,3.87,3.94,3.85,2495660,972841536.28,2.34,0.52,0.02,0.63
