date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2025-12-01,300223,80.49,95.13,95.13,80.49,709227,6297508431.0,18.47,20.04,15.88,16.86
2025-12-02,300223,95.99,91.48,95.99,91.23,483399,4506855986.0,5.0,-3.84,-3.65,11.49
2025-12-03,300223,94.15,92.83,95.16,92.11,323976,3023643610.0,3.33,1.48,1.35,7.7
2025-12-04,300223,90.36,92.23,92.82,90.2,218279,2001411566.0,2.82,-0.65,-0.6,5.19
2025-12-05,300223,92.79,91.28,93.35,89.85,186745,1708475401.0,3.79,-1.03,-0.95,4.44
2025-12-08,300223,91.28,93.7,94.24,90.85,324928,3016764109.0,3.71,2.65,2.42,7.73
2025-12-09,300223,91.95,96.91,100.73,91.93,454142,4436275760.0,9.39,3.43,3.21,10.8
2025-12-10,300223,97.15,97.8,99.69,95.36,282209,2743691130.0,4.47,0.92,0.89,6.71
2025-12-11,300223,98.15,93.47,98.85,93.45,255558,2429722522.0,5.52,-4.43,-4.33,6.08
2025-12-12,300223,93.61,98.1,100.88,91.84,350665,3401862109.0,9.67,4.95,4.63,8.34
2025-12-15,300223,97.4,93.09,97.85,92.85,227450,2141276166.0,5.1,-5.11,-5.01,5.41
2025-12-16,300223,92.54,90.9,96.44,90.67,190968,1773644812.0,6.2,-2.35,-2.19,4.54
2025-12-17,300223,90.89,93.22,93.55,89.18,192814,1770048549.0,4.81,2.55,2.32,4.58
2025-12-18,300223,93.32,93.67,96.63,93.07,228122,2165028611.0,3.82,0.48,0.45,5.42
2025-12-19,300223,94.85,90.01,95.7,89.95,258305,2368688413.0,6.14,-3.91,-3.66,6.14
2025-12-22,300223,90.91,93.95,95.45,90.91,277320,2619871335.0,5.04,4.38,3.94,6.59
2025-12-23,300223,93.4,99.05,101.22,93.4,411999,4053398318.0,8.32,5.43,5.1,9.8
2025-12-24,300223,101.85,107.04,112.07,101.85,548868,5855064678.0,10.32,8.07,7.99,13.05
2025-12-25,300223,111.85,113.91,115.85,108.45,513645,5782082023.0,6.91,6.42,6.87,12.21
2025-12-26,300223,115.85,111.23,117.84,110.05,415113,4703480821.0,6.84,-2.35,-2.68,9.87
2025-12-29,300223,110.72,110.83,116.08,109.73,283744,3179090717.0,5.71,-0.36,-0.4,6.75
2025-12-30,300223,111.89,112.24,113.45,107.41,349126,3867365382.0,5.45,1.27,1.41,8.3
2025-12-31,300223,114.48,105.89,114.65,105.56,298716,3210527274.0,8.1,-5.66,-6.35,7.1
2026-01-05,300223,108.94,115.54,115.82,108.89,402461,4549557102.0,6.54,9.11,9.65,9.57
2026-01-06,300223,114.02,125.01,127.84,112.93,573245,6903181503.0,12.9,8.2,9.47,13.63
2026-01-07,300223,130.85,123.86,132.85,122.15,551761,7020384093.0,8.56,-0.92,-1.15,13.12
2026-01-08,300223,124.17,120.87,126.65,120.45,335175,4113752607.0,5.01,-2.41,-2.99,7.97
2026-01-09,300223,120.85,117.6,120.87,116.52,348329,4113603062.0,3.6,-2.71,-3.27,8.28
2026-01-12,300223,120.05,118.82,121.31,116.15,380994,4530381039.0,4.39,1.04,1.22,9.06
2026-01-13,300223,118.82,115.81,120.3,113.53,329240,3826647009.0,5.7,-2.53,-3.01,7.83
2026-01-14,300223,117.23,114.98,121.04,113.71,395688,4661565963.0,6.33,-0.72,-0.83,9.41
2026-01-15,300223,112.85,117.27,118.85,112.75,283816,3308978040.0,5.31,1.99,2.29,6.75
2026-01-16,300223,119.85,123.65,126.16,117.36,434552,5320086554.0,7.5,5.44,6.38,10.33
2026-01-19,300223,124.92,125.43,129.85,122.35,363733,4599909706.0,6.07,1.44,1.78,8.65
2026-01-20,300223,123.65,127.85,135.15,123.2,388381,5033189155.0,9.53,1.93,2.42,9.23
2026-01-21,300223,127.85,130.77,135.35,126.43,402591,5292035937.0,6.98,2.28,2.92,9.57
2026-01-22,300223,135.45,132.66,139.82,129.85,371556,4978767935.0,7.62,1.45,1.89,8.83
2026-01-23,300223,129.85,128.4,135.73,126.58,296799,3852576404.0,6.9,-3.21,-4.26,7.06
2026-01-26,300223,129.09,130.46,134.73,127.25,278031,3637983096.0,5.83,1.6,2.06,6.61
2026-01-27,300223,128.54,139.2,142.03,126.85,415585,5638283610.0,11.64,6.7,8.74,9.88
2026-01-28,300223,139.85,147.35,151.83,139.05,428023,6293984148.0,9.18,5.85,8.15,10.18
2026-01-29,300223,148.53,137.12,149.85,136.55,441626,6234481660.0,9.03,-6.94,-10.23,10.5
2026-01-30,300223,137.95,143.65,147.93,137.95,391695,5619529193.0,7.28,4.76,6.53,9.31
2026-02-02,300223,137.9,127.74,138.85,127.05,358968,4748830075.0,8.21,-11.08,-15.91,8.54
2026-02-03,300223,134.03,133.58,136.28,130.99,275965,3688530108.0,4.14,4.57,5.84,6.56
2026-02-04,300223,131.18,132.0,132.37,125.86,259572,3344808570.0,4.87,-1.18,-1.58,6.17
2026-02-05,300223,127.3,128.18,129.59,124.85,180231,2295283066.0,3.59,-2.89,-3.82,4.29
