date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2025-12-01,002518,44.68,44.02,45.13,43.6,72296,323289055.83,3.44,-1.12,-0.5,1.28
2025-12-02,002518,44.02,43.84,44.9,43.3,74541,329906551.05,3.63,-0.41,-0.18,1.32
2025-12-03,002518,43.67,44.16,44.86,43.56,76641,342839987.9,2.97,0.73,0.32,1.36
2025-12-04,002518,43.76,43.56,44.15,43.06,56619,249417868.12,2.47,-1.36,-0.6,1.0
2025-12-05,002518,43.65,46.51,47.65,43.65,159845,744877209.29,9.18,6.77,2.95,2.83
2025-12-08,002518,46.51,47.2,47.82,46.13,118660,564131179.6,3.63,1.48,0.69,2.1
2025-12-09,002518,47.11,47.25,48.37,46.37,117384,560524353.47,4.24,0.11,0.05,2.08
2025-12-10,002518,46.96,47.4,47.6,45.39,92569,435505649.02,4.68,0.32,0.15,1.64
2025-12-11,002518,47.42,45.7,47.64,45.64,87433,410131469.37,4.22,-3.59,-1.7,1.55
2025-12-12,002518,46.03,47.17,47.5,45.55,107078,505857432.27,4.27,3.22,1.47,1.89
2025-12-15,002518,46.61,46.55,47.66,46.11,65860,311446361.2,3.29,-1.31,-0.62,1.17
2025-12-16,002518,46.53,44.3,46.55,43.44,105562,472718851.86,6.68,-4.83,-2.25,1.87
2025-12-17,002518,44.41,48.03,48.49,44.2,128411,599222345.87,9.68,8.42,3.73,2.27
2025-12-18,002518,47.47,44.92,47.53,44.56,163723,749892407.59,6.18,-6.48,-3.11,2.9
2025-12-19,002518,45.07,44.89,46.13,44.41,118674,543617285.71,3.83,-0.07,-0.03,2.1
2025-12-22,002518,45.5,49.42,49.42,45.1,215410,1043712082.46,9.62,10.09,4.53,3.81
2025-12-23,002518,49.75,50.16,50.53,48.61,202812,1020397375.75,3.89,1.5,0.74,3.59
2025-12-24,002518,50.16,51.19,53.01,49.75,269534,1403547014.98,6.5,2.05,1.03,4.77
2025-12-25,002518,50.59,50.69,51.15,49.9,131055,666618555.21,2.44,-0.98,-0.5,2.32
2025-12-26,002518,50.06,49.45,50.1,48.56,135510,674496969.48,3.04,-2.45,-1.24,2.4
2025-12-29,002518,49.42,49.3,50.15,48.88,110475,551009087.54,2.57,-0.3,-0.15,1.95
2025-12-30,002518,48.88,48.78,49.7,48.16,101770,502164159.09,3.12,-1.05,-0.52,1.8
2025-12-31,002518,49.3,48.07,49.62,47.85,101096,495790196.66,3.63,-1.46,-0.71,1.79
2026-01-05,002518,48.3,48.47,48.81,47.6,118384,576760216.0,2.52,0.83,0.4,2.09
2026-01-06,002518,48.6,47.83,49.6,47.46,147347,718324929.61,4.42,-1.32,-0.64,2.61
2026-01-07,002518,47.46,49.84,50.4,47.23,206534,1019315170.01,6.63,4.2,2.01,3.65
2026-01-08,002518,49.69,49.76,52.28,49.35,188952,964911512.61,5.88,-0.16,-0.08,3.34
2026-01-09,002518,50.05,53.12,54.1,48.76,238839,1259890785.15,10.73,6.75,3.36,4.23
2026-01-12,002518,53.2,52.16,53.3,50.05,209819,1089001797.57,6.12,-1.81,-0.96,3.71
2026-01-13,002518,52.08,50.64,52.53,49.94,157316,808145704.44,4.97,-2.91,-1.52,2.78
2026-01-14,002518,51.0,51.45,53.11,50.24,205695,1070195991.1,5.67,1.6,0.81,3.64
2026-01-15,002518,51.35,52.54,53.55,51.07,143599,760848850.65,4.82,2.12,1.09,2.54
2026-01-16,002518,53.95,53.15,54.5,51.38,172536,918415707.69,5.94,1.16,0.61,3.05
2026-01-19,002518,53.56,55.33,56.85,53.23,226112,1260810272.02,6.81,4.1,2.18,4.0
2026-01-20,002518,55.72,56.2,57.55,53.53,221080,1240816876.69,7.27,1.57,0.87,3.91
2026-01-21,002518,55.36,59.04,59.75,55.03,215143,1258401891.2,8.4,5.05,2.84,3.81
2026-01-22,002518,59.04,57.15,59.75,56.31,158069,910348155.35,5.83,-3.2,-1.89,2.8
2026-01-23,002518,57.16,57.3,58.42,55.85,115776,666963916.71,4.5,0.26,0.15,2.05
2026-01-26,002518,57.24,56.03,59.1,55.65,120659,692029408.58,6.02,-2.22,-1.27,2.14
2026-01-27,002518,55.19,56.97,57.33,54.0,121939,686615730.26,5.94,1.68,0.94,2.16
2026-01-28,002518,56.97,57.42,57.95,55.8,97949,563460838.88,3.77,0.79,0.45,1.73
2026-01-29,002518,56.76,55.37,57.71,55.19,99628,565615864.05,4.39,-3.57,-2.05,1.76
2026-01-30,002518,55.22,55.73,56.89,53.96,101399,568318141.34,5.29,0.65,0.36,1.79
2026-02-02,002518,56.23,54.5,56.63,54.35,98303,550037786.52,4.09,-2.21,-1.23,1.74
2026-02-03,002518,55.14,56.7,56.75,53.95,120530,675843054.88,5.14,4.04,2.2,2.13
2026-02-04,002518,56.37,56.5,57.45,54.99,83987,473208390.06,4.34,-0.35,-0.2,1.49
2026-02-05,002518,55.65,50.81,56.13,50.81,131870,690381434.07,9.42,-10.07,-5.69,2.33
2026-02-06,002518,49.39,51.35,52.82,49.08,142795,741058141.07,7.36,1.06,0.54,2.53
2026-02-09,002518,52.39,52.7,53.0,51.1,106292,559377015.9,3.7,2.63,1.35,1.88
2026-02-10,002518,51.57,51.64,52.45,50.78,134022,695957694.77,3.17,-2.01,-1.06,2.37
2026-02-11,002518,51.53,50.28,52.02,50.16,94931,485963534.19,3.6,-2.63,-1.36,1.68
2026-02-12,002518,52.28,55.35,55.35,51.25,167375,907585668.68,8.15,10.08,5.07,2.96
2026-02-13,002518,54.39,54.02,55.49,53.58,121917,671111770.23,3.45,-2.4,-1.33,2.16
2026-02-24,002518,54.65,54.75,55.75,53.38,94844,523555704.4,4.39,1.35,0.73,1.68
2026-02-25,002518,54.77,54.16,55.15,53.35,71481,390125432.79,3.29,-1.08,-0.59,1.26
2026-02-26,002518,55.05,56.56,56.74,53.35,129084,719695811.96,6.26,4.43,2.4,2.28
2026-02-27,002518,55.09,56.42,56.72,54.41,105275,592052216.2,4.08,-0.25,-0.14,1.86
2026-03-02,002518,55.13,57.02,57.51,54.65,122775,700678768.78,5.07,1.06,0.6,2.17
2026-03-03,002518,57.02,55.97,57.73,55.35,129458,737140017.55,4.17,-1.84,-1.05,2.29
2026-03-04,002518,54.99,54.72,57.02,54.5,110133,615931028.13,4.5,-2.23,-1.25,1.95
2026-03-05,002518,55.89,55.79,57.7,55.2,129361,735793681.5,4.57,1.96,1.07,2.29
2026-03-06,002518,55.77,56.53,57.7,55.25,109390,626152234.3,4.39,1.33,0.74,1.94
2026-03-09,002518,55.18,55.97,56.22,51.82,144097,784162630.28,7.78,-0.99,-0.56,2.55
2026-03-10,002518,56.57,57.45,57.71,55.99,115125,662180178.05,3.07,2.64,1.48,2.04
2026-03-11,002518,57.49,57.25,58.64,56.93,112282,653726489.06,2.98,-0.35,-0.2,1.99
2026-03-12,002518,57.13,54.43,57.23,53.55,133790,739618122.23,6.43,-4.93,-2.82,2.37
2026-03-13,002518,53.68,53.24,55.03,52.87,78599,427589662.36,3.97,-2.19,-1.19,1.39
2026-03-16,002518,53.33,50.64,53.55,49.43,150052,762324984.99,7.74,-4.88,-2.6,2.66
2026-03-17,002518,50.81,47.24,51.01,47.15,153674,753663390.06,7.62,-6.71,-3.4,2.72
2026-03-18,002518,47.66,47.88,48.22,46.75,107639,517011273.8,3.11,1.35,0.64,1.9
2026-03-19,002518,47.25,45.55,47.46,45.21,171209,798277073.38,4.7,-4.87,-2.33,3.03
2026-03-20,002518,45.74,45.26,47.05,45.15,122167,566829625.58,4.17,-0.64,-0.29,2.16
2026-03-23,002518,44.1,43.95,45.67,43.47,147724,664136546.31,4.86,-2.89,-1.31,2.61
2026-03-24,002518,44.65,44.51,44.94,42.7,110662,488952106.61,5.1,1.27,0.56,1.96
2026-03-25,002518,44.79,46.23,46.6,44.56,119138,553690881.26,4.58,3.86,1.72,2.11
2026-03-26,002518,46.33,45.35,46.68,45.1,67556,313021843.86,3.42,-1.9,-0.88,1.2
2026-03-27,002518,44.46,45.84,46.23,44.46,62675,288494677.1,3.9,1.08,0.49,1.11
2026-03-30,002518,45.31,45.45,46.25,45.06,82919,380607261.79,2.6,-0.85,-0.39,1.47
2026-03-31,002518,45.21,44.65,46.25,44.36,72450,329898926.04,4.16,-1.76,-0.8,1.28
2026-04-01,002518,45.3,45.6,46.0,45.05,69576,320109899.6,2.13,2.13,0.95,1.23
2026-04-02,002518,45.33,44.08,45.43,43.7,63750,286323600.8,3.79,-3.33,-1.52,1.13
2026-04-03,002518,44.3,43.55,44.54,43.55,39658,176081035.78,2.25,-1.2,-0.53,0.7
2026-04-07,002518,43.31,43.35,44.05,42.83,61450,270091649.61,2.8,-0.46,-0.2,1.09
2026-04-08,002518,44.38,46.09,46.23,44.38,94958,436461059.14,4.27,6.32,2.74,1.68
2026-04-09,002518,45.94,46.74,47.7,45.59,107452,510049466.78,4.58,1.41,0.65,1.9
2026-04-10,002518,47.05,47.44,48.7,47.0,98987,477163276.99,3.64,1.5,0.7,1.75
2026-04-13,002518,46.94,47.16,47.62,45.55,153522,718714857.31,4.36,-0.59,-0.28,2.72
2026-04-14,002518,47.54,47.64,48.35,46.75,115102,553016795.9,3.39,1.02,0.48,2.04
2026-04-15,002518,47.75,46.85,48.35,46.79,86996,418783184.91,3.27,-1.66,-0.79,1.54
2026-04-16,002518,47.15,47.49,48.13,46.62,92913,445436752.02,3.22,1.37,0.64,1.64
2026-04-17,002518,47.4,47.64,47.86,46.55,107832,514481909.69,2.76,0.32,0.15,1.91
2026-04-20,002518,47.62,48.38,49.09,46.55,140823,684407718.06,5.33,1.55,0.74,2.49
2026-04-21,002518,47.97,47.85,48.2,46.57,91145,436716926.3,3.37,-1.1,-0.53,1.61
2026-04-22,002518,47.9,48.17,48.35,47.28,89752,434339434.84,2.24,0.67,0.32,1.59
2026-04-23,002518,48.32,48.68,49.52,48.13,139392,686930465.68,2.89,1.06,0.51,2.47
2026-04-24,002518,48.05,47.54,48.5,47.05,107291,516314872.33,2.98,-2.34,-1.14,1.9
2026-04-27,002518,47.36,46.95,48.75,46.55,155378,746788263.32,4.63,-1.24,-0.59,2.75
2026-04-28,002518,46.64,45.07,47.05,44.56,132126,605783120.88,5.3,-4.0,-1.88,2.34
2026-04-29,002518,44.75,46.63,47.05,44.56,153734,715666872.29,5.52,3.46,1.56,2.72
2026-04-30,002518,46.43,46.1,46.65,45.38,110050,511473338.79,2.72,-1.14,-0.53,1.95
2026-05-06,002518,46.32,46.72,47.2,46.31,146421,691775891.64,1.93,1.34,0.62,2.59
2026-05-07,002518,46.72,48.5,48.7,46.35,210530,1012916428.32,5.03,3.81,1.78,3.73
2026-05-08,002518,48.02,47.43,48.12,46.95,159742,766220600.91,2.41,-2.21,-1.07,2.83
2026-05-11,002518,47.95,48.71,49.54,47.65,182458,892675810.36,3.98,2.7,1.28,3.23
2026-05-12,002518,50.36,48.5,50.55,48.23,173866,864727620.0,4.76,-0.43,-0.21,3.08
2026-05-13,002518,48.28,53.4,53.4,48.27,221266,1149684252.16,10.58,10.1,4.9,3.92
2026-05-14,002518,54.48,57.23,58.45,53.66,418689,2387216633.19,8.97,7.17,3.83,7.41
2026-05-15,002518,56.78,57.47,59.4,56.78,286721,1679973496.13,4.58,0.42,0.24,5.07
2026-05-18,002518,58.04,62.9,63.26,58.04,322945,2026642812.91,9.08,9.45,5.43,5.71
2026-05-19,002518,62.88,64.02,64.17,60.05,332282,2082742341.9,6.55,1.78,1.12,5.88
2026-05-20,002518,64.02,63.94,65.13,62.45,208006,1332686123.29,4.19,-0.12,-0.08,3.68
2026-05-21,002518,64.05,60.29,65.02,59.55,211774,1334869762.3,8.55,-5.71,-3.65,3.75
2026-05-22,002518,61.05,61.95,62.35,59.3,153493,948854062.55,5.06,2.75,1.66,2.72
2026-05-25,002518,62.85,59.85,62.99,59.63,178616,1092992097.57,5.42,-3.39,-2.1,3.16
2026-05-26,002518,60.05,57.02,60.55,56.15,186802,1081932017.54,7.35,-4.73,-2.83,3.31
2026-05-27,002518,57.45,56.0,59.5,55.4,158827,908091368.79,7.19,-1.79,-1.02,2.81
2026-05-28,002518,55.9,55.65,56.64,54.79,120654,671429108.9,3.3,-0.63,-0.35,2.13
2026-05-29,002518,56.74,54.29,57.38,53.79,157481,871217117.59,6.45,-2.44,-1.36,2.79
2026-06-01,002518,54.3,51.95,55.38,51.63,177710,944335734.99,6.91,-4.31,-2.34,3.14
2026-06-02,002518,52.19,51.95,52.99,50.02,129509,670383590.08,5.72,0.0,0.0,2.29
2026-06-03,002518,51.93,51.28,53.36,50.71,126754,661173726.33,5.1,-1.29,-0.67,2.24
2026-06-04,002518,50.58,51.23,51.97,50.33,98102,501389944.32,3.2,-0.1,-0.05,1.74
2026-06-05,002518,51.01,50.9,53.21,49.23,160424,821019834.85,7.77,-0.64,-0.33,2.84
2026-06-08,002518,48.39,48.01,49.53,47.48,161716,783561803.86,4.03,-5.68,-2.89,2.86
2026-06-09,002518,48.52,48.85,49.19,47.5,116754,564795479.23,3.52,1.75,0.84,2.07
2026-06-10,002518,47.75,46.41,48.36,45.95,144173,673193062.36,4.93,-4.99,-2.44,2.55
2026-06-11,002518,46.09,45.56,46.42,44.44,126341,573051622.85,4.27,-1.83,-0.85,2.24
2026-06-12,002518,46.06,45.48,47.2,45.38,121043,556755282.26,3.99,-0.18,-0.08,2.14
2026-06-15,002518,46.0,48.85,49.03,45.8,219106,1043505823.18,7.1,7.41,3.37,3.88
2026-06-16,002518,49.3,50.85,51.36,48.85,210840,1062556066.99,5.14,4.09,2.0,3.73
2026-06-17,002518,50.77,52.18,52.86,50.5,183899,958040453.48,4.64,2.62,1.33,3.25
2026-06-18,002518,52.07,52.18,52.6,51.5,123644,643448890.82,2.11,0.0,0.0,2.19
2026-06-22,002518,53.0,52.03,53.4,50.96,135952,704934268.12,4.68,-0.29,-0.15,2.41
2026-06-23,002518,52.6,49.4,52.8,49.01,134006,670758421.86,7.28,-5.05,-2.63,2.37
2026-06-24,002518,49.32,49.48,50.36,48.22,90448,446380692.92,4.33,0.16,0.08,1.6
2026-06-25,002518,50.18,54.43,54.43,49.6,125370,660881204.48,9.76,10.0,4.95,2.22
2026-06-26,002518,55.95,50.9,56.87,50.55,309595,1620460071.35,11.61,-6.49,-3.53,5.48
