date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2025-12-01,300769,48.89,47.77,49.59,47.18,263319,1269596440.0,4.93,-2.37,-1.16,10.46
2025-12-02,300769,47.52,47.57,48.77,47.01,205869,982799343.0,3.68,-0.42,-0.2,8.18
2025-12-03,300769,49.19,46.68,49.7,46.11,281126,1344251219.0,7.55,-1.87,-0.89,11.17
2025-12-04,300769,46.2,45.49,46.95,45.15,181126,827379979.0,3.86,-2.55,-1.19,7.19
2025-12-05,300769,45.25,45.46,45.8,44.14,166999,752328242.0,3.65,-0.07,-0.03,6.63
2025-12-08,300769,45.22,46.6,47.0,44.9,172778,795457948.0,4.62,2.51,1.14,6.86
2025-12-09,300769,46.0,45.22,46.3,45.1,149219,678889230.0,2.58,-2.96,-1.38,5.93
2025-12-10,300769,45.22,45.0,45.85,44.31,121916,547134751.0,3.41,-0.49,-0.22,4.84
2025-12-11,300769,45.28,44.04,45.97,44.0,150994,677886684.0,4.38,-2.13,-0.96,6.0
2025-12-12,300769,44.6,43.39,44.7,42.89,177091,770571118.0,4.11,-1.48,-0.65,7.03
2025-12-15,300769,43.68,42.95,44.0,42.43,126716,546779552.0,3.62,-1.01,-0.44,5.03
2025-12-16,300769,42.83,42.07,43.08,41.33,130633,548565147.0,4.07,-2.05,-0.88,5.19
2025-12-17,300769,42.61,43.75,43.76,42.29,186968,805641876.0,3.49,3.99,1.68,7.43
2025-12-18,300769,43.67,42.34,43.88,42.15,137933,592571093.0,3.95,-3.22,-1.41,5.48
2025-12-19,300769,42.56,42.98,43.3,42.3,129575,553782984.0,2.36,1.51,0.64,5.15
2025-12-22,300769,42.86,43.16,43.88,42.86,116696,506266397.0,2.37,0.42,0.18,4.64
2025-12-23,300769,43.01,44.34,45.08,42.91,222239,982817386.0,5.03,2.73,1.18,8.83
2025-12-24,300769,44.14,44.89,45.5,44.03,178143,798239093.0,3.32,1.24,0.55,7.08
2025-12-25,300769,44.4,44.45,44.68,43.93,132752,587651894.0,1.67,-0.98,-0.44,5.27
2025-12-26,300769,47.45,46.19,48.6,46.12,356486,1675122618.0,5.58,3.91,1.74,14.16
2025-12-29,300769,46.75,45.12,46.86,44.66,231391,1054155794.0,4.76,-2.32,-1.07,9.19
2025-12-30,300769,44.53,45.33,45.89,43.77,180265,808342519.0,4.7,0.47,0.21,7.16
2025-12-31,300769,45.3,44.01,45.82,43.98,134486,598880702.0,4.06,-2.91,-1.32,5.34
2026-01-05,300769,44.84,45.25,45.34,43.81,181637,812970053.0,3.48,2.82,1.24,7.21
2026-01-06,300769,45.85,46.6,47.25,45.2,248097,1146338081.0,4.53,2.98,1.35,9.85
2026-01-07,300769,46.35,45.65,47.25,45.15,199079,918540511.0,4.51,-2.04,-0.95,7.91
2026-01-08,300769,45.05,45.39,46.49,44.88,165374,754798197.0,3.53,-0.57,-0.26,6.57
2026-01-09,300769,45.01,45.42,46.45,44.79,170499,778637294.0,3.66,0.07,0.03,6.77
2026-01-12,300769,45.76,46.54,46.96,45.32,231058,1068361596.0,3.61,2.47,1.12,9.18
2026-01-13,300769,46.5,45.74,47.88,45.44,307692,1429489552.0,5.24,-1.72,-0.8,12.22
2026-01-14,300769,45.86,46.33,47.84,45.32,302728,1411353170.0,5.51,1.29,0.59,12.02
2026-01-15,300769,46.0,46.12,47.82,45.75,262477,1226936499.0,4.47,-0.45,-0.21,10.43
2026-01-16,300769,46.55,45.13,46.89,44.7,236644,1075340810.0,4.75,-2.15,-0.99,9.4
2026-01-19,300769,44.51,44.91,45.86,44.01,166060,749014776.0,4.1,-0.49,-0.22,6.6
2026-01-20,300769,45.31,43.42,46.17,42.9,200589,884847636.0,7.28,-3.32,-1.49,7.97
