日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-23,601012,16.55,16.29,16.7,16.07,1034342,1687496776.0,3.8,-1.87,-0.31,1.36
2025-09-24,601012,16.28,17.4,17.4,16.18,1804191,3038409287.0,7.49,6.81,1.11,2.38
2025-09-25,601012,17.38,17.76,18.05,17.23,2260227,4013782259.0,4.71,2.07,0.36,2.98
2025-09-26,601012,17.65,17.5,17.83,17.48,964188,1698219493.0,1.97,-1.46,-0.26,1.27
2025-09-29,601012,17.48,17.58,17.7,17.39,1170919,2053870973.0,1.77,0.46,0.08,1.55
2025-09-30,601012,17.59,18.0,18.05,17.46,1692377,3014925216.0,3.36,2.39,0.42,2.23
2025-10-09,601012,18.05,18.88,19.11,17.87,2753407,5131257215.0,6.89,4.89,0.88,3.63
2025-10-10,601012,18.97,18.4,19.22,18.26,1888725,3528008334.0,5.08,-2.54,-0.48,2.49
2025-10-13,601012,17.65,18.13,18.29,17.63,1574472,2824417781.0,3.59,-1.47,-0.27,2.08
2025-10-14,601012,18.4,19.28,19.94,18.4,5569401,10927964906.0,8.49,6.34,1.15,7.35
2025-10-15,601012,19.27,19.72,20.24,18.84,4612512,9042907864.0,7.26,2.28,0.44,6.09
2025-10-16,601012,19.65,20.25,20.35,19.51,3560639,7120042855.0,4.26,2.69,0.53,4.7
2025-10-17,601012,20.09,19.7,20.74,19.52,3394179,6805387264.0,6.02,-2.72,-0.55,4.48
2025-10-20,601012,19.65,19.06,19.67,18.92,2182747,4185835833.0,3.81,-3.25,-0.64,2.88
2025-10-21,601012,19.08,19.01,19.26,18.93,1405833,2680751281.0,1.73,-0.26,-0.05,1.86
2025-10-22,601012,19.17,18.77,19.39,18.72,1371236,2597092644.0,3.52,-1.26,-0.24,1.81
2025-10-23,601012,18.65,19.04,19.11,18.38,1747565,3274446752.0,3.89,1.44,0.27,2.31
2025-10-24,601012,19.05,18.84,19.48,18.69,1426308,2710507388.0,4.15,-1.05,-0.2,1.88
2025-10-27,601012,19.0,19.06,19.38,18.87,1647106,3152114268.0,2.71,1.17,0.22,2.17
2025-10-28,601012,19.19,18.9,19.22,18.76,1164186,2207676661.0,2.41,-0.84,-0.16,1.54
2025-10-29,601012,18.9,20.79,20.79,18.81,3900066,7852274544.0,10.48,10.0,1.89,5.15
2025-10-30,601012,21.01,21.51,22.14,21.0,4925438,10673662671.0,5.48,3.46,0.72,6.5
2025-10-31,601012,21.41,21.11,22.24,21.0,3190614,6863229668.0,5.76,-1.86,-0.4,4.21
2025-11-03,601012,21.37,21.76,21.88,21.2,2898192,6249206921.0,3.22,3.08,0.65,3.82
2025-11-04,601012,21.78,21.35,21.93,21.18,1957380,4212139097.0,3.45,-1.88,-0.41,2.58
2025-11-05,601012,21.01,21.85,22.52,20.73,3303288,7153463684.0,8.38,2.34,0.5,4.36
2025-11-06,601012,21.85,21.77,22.16,21.42,2216458,4818581107.0,3.39,-0.37,-0.08,2.92
2025-11-07,601012,21.64,22.43,23.3,21.64,4223350,9584105295.0,7.63,3.03,0.66,5.57
2025-11-10,601012,22.88,22.8,23.57,22.6,4031035,9280405739.0,4.32,1.65,0.37,5.32
2025-11-11,601012,22.8,22.44,23.09,22.41,2808371,6387793972.0,2.98,-1.58,-0.36,3.71
2025-11-12,601012,22.3,20.79,22.3,20.22,5223453,10945020730.0,9.27,-7.35,-1.65,6.89
2025-11-13,601012,20.8,21.3,21.64,20.69,3219396,6821922566.0,4.57,2.45,0.51,4.25
2025-11-14,601012,21.0,21.88,23.11,20.8,4048317,8888797854.0,10.85,2.72,0.58,5.34
2025-11-17,601012,22.0,21.69,22.1,21.26,2312457,4997065752.0,3.84,-0.87,-0.19,3.05
2025-11-18,601012,21.54,21.15,21.88,21.01,1734624,3693621417.0,4.01,-2.49,-0.54,2.29
2025-11-19,601012,21.15,21.2,21.44,20.64,1962514,4120662266.0,3.78,0.24,0.05,2.59
2025-11-20,601012,21.2,20.1,21.3,20.0,2338839,4822149607.0,6.13,-5.19,-1.1,3.09
2025-11-21,601012,19.7,18.84,19.9,18.81,2871240,5515259064.0,5.42,-6.27,-1.26,3.79
2025-11-24,601012,19.02,18.76,19.09,18.51,1615064,3026319105.0,3.08,-0.42,-0.08,2.13
2025-11-25,601012,18.91,18.98,19.23,18.8,1377797,2619061640.0,2.29,1.17,0.22,1.82
2025-11-26,601012,19.12,18.81,19.2,18.7,1474896,2791746110.0,2.63,-0.9,-0.17,1.95
2025-11-27,601012,18.76,18.58,19.07,18.52,1570441,2953523047.0,2.92,-1.22,-0.23,2.07
2025-11-28,601012,18.49,18.57,18.72,18.35,1259892,2337017110.0,1.99,-0.05,-0.01,1.66
2025-12-01,601012,18.7,18.75,18.85,18.5,1274347,2380406032.0,1.88,0.97,0.18,1.68
2025-12-02,601012,18.65,18.31,18.66,18.25,1262765,2319595364.0,2.19,-2.35,-0.44,1.67
2025-12-03,601012,18.3,18.02,18.34,17.98,1120542,2028587487.0,1.97,-1.58,-0.29,1.48
2025-12-04,601012,17.87,17.91,18.03,17.8,868697,1555532232.0,1.28,-0.61,-0.11,1.15
2025-12-05,601012,17.92,18.02,18.07,17.81,1028738,1849427406.0,1.45,0.61,0.11,1.36
2025-12-08,601012,17.99,18.08,18.17,17.9,1083150,1956004320.0,1.5,0.33,0.06,1.43
2025-12-09,601012,18.06,18.2,18.26,17.9,1500690,2715269483.0,1.99,0.66,0.12,1.98
2025-12-10,601012,18.29,18.2,18.54,17.8,1718834,3112585783.0,4.07,0.0,0.0,2.27
2025-12-11,601012,18.16,17.88,18.26,17.86,1009356,1822141144.0,2.2,-1.76,-0.32,1.33
2025-12-12,601012,17.95,18.19,18.25,17.86,1297538,2349187324.0,2.18,1.73,0.31,1.71
2025-12-15,601012,18.15,18.0,18.37,17.96,1204152,2188971476.0,2.25,-1.04,-0.19,1.59
2025-12-16,601012,17.99,17.46,17.99,17.3,1333841,2338261249.0,3.83,-3.0,-0.54,1.76
2025-12-17,601012,17.49,17.78,17.82,17.44,912024,1607351227.0,2.18,1.83,0.32,1.2
2025-12-18,601012,17.7,17.7,17.9,17.61,699344,1243572701.0,1.63,-0.45,-0.08,0.92
2025-12-19,601012,17.71,18.08,18.41,17.71,1389156,2517253951.0,3.95,2.15,0.38,1.83
2025-12-22,601012,18.09,18.11,18.28,18.09,900951,1635920071.0,1.05,0.17,0.03,1.19
2025-12-23,601012,18.12,18.02,18.18,17.92,853749,1540542116.0,1.44,-0.5,-0.09,1.13
2025-12-24,601012,17.94,18.13,18.23,17.77,870313,1570606116.0,2.55,0.61,0.11,1.15
2025-12-25,601012,18.04,18.27,18.31,17.95,955618,1734543765.0,1.99,0.77,0.14,1.26
2025-12-26,601012,18.84,19.02,19.33,18.7,2752732,5236282801.0,3.45,4.11,0.75,3.63
2025-12-29,601012,19.03,18.7,19.18,18.61,1529933,2885659169.0,3.0,-1.68,-0.32,2.02
2025-12-30,601012,18.55,18.44,18.75,18.4,982510,1817628693.0,1.87,-1.39,-0.26,1.3
2025-12-31,601012,18.42,18.2,18.54,18.17,1020767,1868825732.0,2.01,-1.3,-0.24,1.35
2026-01-05,601012,18.43,18.49,18.5,18.23,1063532,1958453795.0,1.48,1.59,0.29,1.4
2026-01-06,601012,18.49,18.83,18.88,18.45,1479925,2771718349.0,2.33,1.84,0.34,1.95
2026-01-07,601012,18.83,18.65,18.85,18.56,1471045,2746859052.0,1.54,-0.96,-0.18,1.94
2026-01-08,601012,18.53,18.77,18.93,18.39,1536377,2873301340.0,2.9,0.64,0.12,2.03
2026-01-09,601012,18.61,18.39,18.77,18.28,2290187,4231356213.0,2.61,-2.02,-0.38,3.02
2026-01-12,601012,18.1,19.23,19.45,18.02,3643823,6919241186.0,7.78,4.57,0.84,4.81
2026-01-13,601012,19.23,18.5,19.23,18.42,2785582,5201821676.0,4.21,-3.8,-0.73,3.68
2026-01-14,601012,18.43,18.59,19.07,18.37,2553127,4786478140.0,3.78,0.49,0.09,3.37
2026-01-15,601012,18.5,18.5,18.99,18.4,1601094,2981575224.0,3.17,-0.48,-0.09,2.11
2026-01-16,601012,18.61,18.73,18.95,18.47,1948506,3645110363.0,2.59,1.24,0.23,2.57
2026-01-19,601012,18.4,18.32,18.59,17.8,2287426,4184561250.0,4.22,-2.19,-0.41,3.02
2026-01-20,601012,18.23,17.38,18.39,17.3,3165550,5578437512.0,5.95,-5.13,-0.94,4.18
2026-01-21,601012,17.31,17.22,17.47,17.1,1535783,2658057827.0,2.13,-0.92,-0.16,2.03
2026-01-22,601012,17.2,17.59,17.93,17.15,1915604,3360706958.0,4.53,2.15,0.37,2.53
2026-01-23,601012,17.61,19.35,19.35,17.61,4985971,9394050972.0,9.89,10.01,1.76,6.58
2026-01-26,601012,19.83,19.09,20.05,18.98,5367875,10439391593.0,5.53,-1.34,-0.26,7.08
2026-01-27,601012,18.8,19.2,19.39,18.36,3864283,7306070379.0,5.4,0.58,0.11,5.1
2026-01-28,601012,19.16,18.82,19.44,18.8,2584340,4916577972.0,3.33,-1.98,-0.38,3.41
2026-01-29,601012,18.68,18.77,19.3,18.6,2754552,5210968053.0,3.72,-0.27,-0.05,3.63
2026-01-30,601012,18.58,17.88,18.82,17.71,2916513,5264912030.0,5.91,-4.74,-0.89,3.85
2026-02-02,601012,18.16,17.64,18.25,17.61,1710968,3067558742.0,3.58,-1.34,-0.24,2.26
2026-02-03,601012,17.83,18.57,18.58,17.83,2831263,5170147381.0,4.25,5.27,0.93,3.74
2026-02-04,601012,18.4,19.31,19.44,18.3,4094587,7779064977.0,6.14,3.98,0.74,5.4
2026-02-05,601012,19.01,18.23,19.01,18.16,3258250,6013712042.0,4.4,-5.59,-1.08,4.3
2026-02-06,601012,18.05,18.36,18.67,18.0,2111974,3887739122.0,3.68,0.71,0.13,2.79
2026-02-09,601012,18.78,19.18,19.75,18.74,4288200,8275472542.0,5.5,4.47,0.82,5.66
2026-02-10,601012,19.0,18.81,19.28,18.77,2262494,4280477047.0,2.66,-1.93,-0.37,2.99
2026-02-11,601012,18.8,18.59,18.99,18.55,1581104,2959090907.0,2.34,-1.17,-0.22,2.09
2026-02-12,601012,18.59,18.49,18.65,18.4,1429808,2647753652.0,1.34,-0.54,-0.1,1.89
2026-02-13,601012,18.4,18.13,18.44,18.1,1484024,2707298690.0,1.84,-1.95,-0.36,1.96
2026-02-24,601012,18.35,18.28,18.43,18.19,1304719,2391080125.0,1.32,0.83,0.15,1.72
2026-02-25,601012,18.32,18.57,18.62,18.29,1423625,2628915859.0,1.81,1.59,0.29,1.88
2026-02-26,601012,18.54,18.27,18.54,18.16,1354565,2475716261.0,2.05,-1.62,-0.3,1.79
2026-02-27,601012,18.17,18.32,18.5,18.16,1156079,2120773487.0,1.86,0.27,0.05,1.53
2026-03-02,601012,17.97,18.12,18.55,17.9,1636287,2976079934.0,3.55,-1.09,-0.2,2.16
2026-03-03,601012,18.2,17.99,18.73,17.9,2277338,4166800912.0,4.58,-0.72,-0.13,3.01
2026-03-04,601012,17.61,17.66,18.06,17.58,1559401,2771722872.0,2.67,-1.83,-0.33,2.06
2026-03-05,601012,17.93,17.76,18.0,17.71,1194523,2130166382.0,1.64,0.57,0.1,1.58
2026-03-06,601012,17.76,18.0,18.08,17.58,1203234,2154129920.0,2.82,1.35,0.24,1.59
2026-03-09,601012,18.01,18.39,18.49,17.92,2062755,3764605465.0,3.17,2.17,0.39,2.72
