date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2025-12-01,000876,9.42,9.47,9.48,9.38,168429,159165504.22,1.06,0.64,0.06,0.37
2025-12-02,000876,9.48,9.4,9.48,9.39,148085,139407530.57,0.95,-0.74,-0.07,0.33
2025-12-03,000876,9.4,9.34,9.43,9.3,163854,153325648.28,1.38,-0.64,-0.06,0.36
2025-12-04,000876,9.3,9.24,9.34,9.22,181801,168449559.12,1.28,-1.07,-0.1,0.4
2025-12-05,000876,9.24,9.29,9.3,9.2,185545,171394787.72,1.08,0.54,0.05,0.41
2025-12-08,000876,9.34,9.23,9.35,9.21,272574,252489145.4,1.51,-0.65,-0.06,0.61
2025-12-09,000876,9.22,9.02,9.25,8.99,398474,363418103.0,2.82,-2.28,-0.21,0.89
2025-12-10,000876,9.01,8.95,9.1,8.94,385654,346987773.0,1.77,-0.78,-0.07,0.86
2025-12-11,000876,8.96,9.04,9.11,8.86,432782,388129006.34,2.79,1.01,0.09,0.96
2025-12-12,000876,9.01,9.08,9.09,8.96,241763,218452621.06,1.44,0.44,0.04,0.54
2025-12-15,000876,9.04,9.06,9.15,9.03,211853,192823313.18,1.32,-0.22,-0.02,0.47
2025-12-16,000876,9.06,9.02,9.11,8.96,168820,152403690.62,1.66,-0.44,-0.04,0.38
2025-12-17,000876,9.25,9.16,9.3,9.08,339115,310807365.45,2.44,1.55,0.14,0.75
2025-12-18,000876,9.11,9.13,9.19,9.1,169482,154973087.96,0.98,-0.33,-0.03,0.38
2025-12-19,000876,9.12,9.21,9.31,9.09,373670,344349083.96,2.41,0.88,0.08,0.83
2025-12-22,000876,9.21,9.18,9.24,9.16,193041,177525312.12,0.87,-0.33,-0.03,0.43
2025-12-23,000876,9.18,9.13,9.22,9.12,150219,137509221.09,1.09,-0.54,-0.05,0.33
2025-12-24,000876,9.12,9.1,9.15,9.07,158621,144519110.35,0.88,-0.33,-0.03,0.35
2025-12-25,000876,9.11,9.13,9.15,9.11,142075,129707973.72,0.44,0.33,0.03,0.32
2025-12-26,000876,9.13,9.13,9.16,9.09,171557,156465239.73,0.77,0.0,0.0,0.38
2025-12-29,000876,9.14,9.2,9.27,9.1,294756,271476937.88,1.86,0.77,0.07,0.66
2025-12-30,000876,9.2,9.26,9.33,9.19,286359,265129451.24,1.52,0.65,0.06,0.64
2025-12-31,000876,9.26,9.22,9.27,9.15,200919,184891183.15,1.3,-0.43,-0.04,0.45
2026-01-05,000876,9.23,9.21,9.23,9.17,186082,171078684.91,0.65,-0.11,-0.01,0.41
2026-01-06,000876,9.21,9.3,9.3,9.19,283164,262156259.46,1.19,0.98,0.09,0.63
2026-01-07,000876,9.29,9.23,9.32,9.22,246008,228230727.02,1.08,-0.75,-0.07,0.55
2026-01-08,000876,9.22,9.27,9.27,9.2,187222,172988844.54,0.76,0.43,0.04,0.42
2026-01-09,000876,9.27,9.26,9.29,9.21,230326,213000914.06,0.86,-0.11,-0.01,0.51
2026-01-12,000876,9.26,9.28,9.28,9.22,315920,292085016.82,0.65,0.22,0.02,0.7
2026-01-13,000876,9.27,9.15,9.27,9.14,403584,371633542.6,1.4,-1.4,-0.13,0.9
2026-01-14,000876,9.15,8.97,9.21,8.93,699971,635045707.48,3.06,-1.97,-0.18,1.56
2026-01-15,000876,8.96,8.98,9.02,8.96,326716,293552490.92,0.67,0.11,0.01,0.73
2026-01-16,000876,9.0,8.84,9.01,8.81,484281,430452305.55,2.23,-1.56,-0.14,1.08
2026-01-19,000876,8.85,8.89,8.9,8.84,270782,240267666.54,0.68,0.57,0.05,0.6
2026-01-20,000876,8.88,8.92,8.94,8.86,258244,230042760.86,0.9,0.34,0.03,0.57
2026-01-21,000876,8.89,8.83,8.92,8.82,307164,271949959.58,1.12,-1.01,-0.09,0.68
2026-01-22,000876,8.84,8.75,8.87,8.73,543514,477080191.41,1.59,-0.91,-0.08,1.21
2026-01-23,000876,8.72,8.68,8.78,8.65,801271,696992317.56,1.49,-0.8,-0.07,1.78
2026-01-26,000876,8.69,8.92,8.93,8.56,1087327,950992048.2,4.26,2.76,0.24,2.42
2026-01-27,000876,8.88,8.75,8.88,8.71,539211,472831420.99,1.91,-1.91,-0.17,1.2
2026-01-28,000876,8.73,8.87,8.92,8.71,593104,523350393.41,2.4,1.37,0.12,1.32
2026-01-29,000876,8.88,8.98,9.0,8.85,550867,491950194.26,1.69,1.24,0.11,1.22
2026-01-30,000876,8.94,9.04,9.2,8.89,747962,679378962.51,3.45,0.67,0.06,1.66
2026-02-02,000876,8.72,8.67,8.81,8.57,658411,573098495.14,2.65,-4.09,-0.37,1.46
2026-02-03,000876,8.66,8.67,8.71,8.58,344495,297135089.68,1.5,0.0,0.0,0.77
2026-02-04,000876,8.69,8.74,8.75,8.64,277056,241116370.77,1.27,0.81,0.07,0.62
2026-02-05,000876,8.74,8.71,8.78,8.68,232654,202856198.79,1.14,-0.34,-0.03,0.52
2026-02-06,000876,8.7,8.69,8.75,8.65,212194,184562105.72,1.15,-0.23,-0.02,0.47
2026-02-09,000876,8.71,8.7,8.73,8.68,209973,182726414.53,0.58,0.12,0.01,0.47
2026-02-10,000876,8.72,8.67,8.72,8.65,181734,157645737.27,0.8,-0.34,-0.03,0.4
2026-02-11,000876,8.68,8.68,8.72,8.64,208218,180630826.59,0.92,0.12,0.01,0.46
2026-02-12,000876,8.66,8.6,8.67,8.6,207265,178590717.2,0.81,-0.92,-0.08,0.46
