日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-23,002183,5.24,5.23,5.29,5.11,1520032,791099766.9,3.44,-0.19,-0.01,5.85
2025-09-24,002183,5.23,5.31,5.37,5.18,1290970,683878243.34,3.63,1.53,0.08,4.97
2025-09-25,002183,5.29,5.17,5.38,5.17,1113305,583452887.65,3.95,-2.64,-0.14,4.29
2025-09-26,002183,5.25,5.11,5.26,5.11,691520,357503883.96,2.9,-1.16,-0.06,2.66
2025-09-29,002183,5.14,5.22,5.22,5.06,856809,442791696.15,3.13,2.15,0.11,3.3
2025-09-30,002183,5.25,5.27,5.33,5.18,1016127,534487091.78,2.87,0.96,0.05,3.91
2025-10-09,002183,5.36,5.46,5.5,5.36,1410026,765505845.25,2.66,3.61,0.19,5.43
2025-10-10,002183,5.44,5.34,5.44,5.33,970046,520711915.95,2.01,-2.2,-0.12,3.74
2025-10-13,002183,5.08,5.18,5.19,4.97,953955,487518870.72,4.12,-3.0,-0.16,3.67
2025-10-14,002183,5.21,5.12,5.32,5.09,813570,423464762.5,4.44,-1.16,-0.06,3.13
2025-10-15,002183,5.13,5.18,5.19,5.07,538866,276951238.42,2.34,1.17,0.06,2.07
2025-10-16,002183,5.17,5.05,5.17,5.03,603289,306452497.08,2.7,-2.51,-0.13,2.32
2025-10-17,002183,5.03,4.91,5.13,4.88,642018,319587528.14,4.95,-2.77,-0.14,2.47
2025-10-20,002183,4.96,4.98,5.02,4.94,446171,222535171.39,1.63,1.43,0.07,1.72
2025-10-21,002183,4.98,5.1,5.12,4.95,569043,288581577.44,3.41,2.41,0.12,2.19
2025-10-22,002183,5.03,4.98,5.04,4.92,672652,334367722.0,2.35,-2.35,-0.12,2.59
2025-10-23,002183,5.23,5.18,5.35,5.1,1800212,939696827.15,5.02,4.02,0.2,6.93
2025-10-24,002183,5.14,5.13,5.24,5.09,989341,509895810.3,2.9,-0.97,-0.05,3.81
2025-10-27,002183,5.19,5.29,5.34,5.19,1238937,652582578.88,2.92,3.12,0.16,4.77
2025-10-28,002183,5.22,5.2,5.29,5.19,707484,369808114.03,1.89,-1.7,-0.09,2.72
2025-10-29,002183,5.2,5.26,5.26,5.12,629233,328125397.91,2.69,1.15,0.06,2.42
