date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2025-12-01,603688,36.41,36.79,36.79,36.24,51732,189889804.0,1.51,1.21,0.44,0.96
2025-12-02,603688,36.79,36.16,36.89,36.09,42766,155911445.0,2.17,-1.71,-0.63,0.79
2025-12-03,603688,36.17,36.04,36.56,35.92,32836,118950968.0,1.77,-0.33,-0.12,0.61
2025-12-04,603688,36.12,36.27,36.39,35.23,51034,183305317.0,3.22,0.64,0.23,0.94
2025-12-05,603688,36.1,36.25,36.36,35.49,52987,190722052.0,2.4,-0.06,-0.02,0.98
2025-12-08,603688,36.29,36.54,36.75,36.29,54873,201101454.0,1.27,0.8,0.29,1.01
2025-12-09,603688,36.55,37.12,37.32,36.37,79629,294990983.0,2.6,1.59,0.58,1.47
2025-12-10,603688,36.96,37.01,37.2,36.66,55294,204424248.0,1.45,-0.3,-0.11,1.02
2025-12-11,603688,37.21,36.31,37.29,36.28,49711,182788844.0,2.73,-1.89,-0.7,0.92
2025-12-12,603688,36.26,36.61,36.76,35.96,51360,187501381.0,2.2,0.83,0.3,0.95
2025-12-15,603688,36.3,36.2,36.76,36.12,44585,162535872.0,1.75,-1.12,-0.41,0.82
2025-12-16,603688,36.24,35.07,36.41,35.06,56675,200811538.0,3.73,-3.12,-1.13,1.05
2025-12-17,603688,35.08,35.55,35.7,34.65,51158,180105422.0,2.99,1.37,0.48,0.94
2025-12-18,603688,35.37,35.6,36.2,35.32,39782,142800911.0,2.48,0.14,0.05,0.73
2025-12-19,603688,35.89,35.73,36.08,35.67,36321,130474588.0,1.15,0.37,0.13,0.67
2025-12-22,603688,35.73,36.62,37.09,35.73,77137,283248119.0,3.81,2.49,0.89,1.42
2025-12-23,603688,36.82,37.35,38.25,36.64,123196,462110486.0,4.4,1.99,0.73,2.27
2025-12-24,603688,37.27,37.91,38.35,37.27,106462,403505794.0,2.89,1.5,0.56,1.97
2025-12-25,603688,37.81,37.42,37.81,37.14,70955,266423207.0,1.77,-1.29,-0.49,1.31
2025-12-26,603688,37.42,37.53,38.1,37.42,81265,307187671.0,1.82,0.29,0.11,1.5
2025-12-29,603688,37.73,37.11,37.86,37.02,62459,233640036.0,2.24,-1.12,-0.42,1.15
