日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-23,002129,7.88,7.77,7.91,7.65,897666,696761472.77,3.28,-1.89,-0.15,2.22
2025-09-24,002129,7.73,8.55,8.55,7.71,1905394,1553657756.42,10.81,10.04,0.78,4.72
2025-09-25,002129,8.7,9.41,9.41,8.61,3487780,3231266928.79,9.36,10.06,0.86,8.63
2025-09-26,002129,9.26,9.11,9.45,9.08,3225610,2972084758.62,3.93,-3.19,-0.3,7.98
2025-09-29,002129,9.14,9.02,9.2,8.91,1721143,1555181558.56,3.18,-0.99,-0.09,4.26
2025-09-30,002129,9.05,9.05,9.24,8.96,1633905,1482894332.4,3.1,0.33,0.03,4.04
2025-10-09,002129,9.06,9.47,9.75,9.06,2902190,2731608393.69,7.62,4.64,0.42,7.18
2025-10-10,002129,9.48,9.16,9.6,9.11,1676602,1557800845.08,5.17,-3.27,-0.31,4.15
2025-10-13,002129,8.8,9.02,9.05,8.76,1319999,1176224451.42,3.17,-1.53,-0.14,3.27
2025-10-14,002129,9.07,9.35,9.87,9.06,2568729,2444813488.72,8.98,3.66,0.33,6.36
2025-10-15,002129,9.36,9.54,9.74,9.23,2262608,2148357338.38,5.45,2.03,0.19,5.6
2025-10-16,002129,9.45,9.42,9.54,9.34,1305932,1231518963.58,2.1,-1.26,-0.12,3.23
2025-10-17,002129,9.41,8.95,9.49,8.89,1480244,1350999115.4,6.37,-4.99,-0.47,3.66
2025-10-20,002129,8.99,8.91,9.04,8.77,987569,878446051.54,3.02,-0.45,-0.04,2.44
2025-10-21,002129,8.95,9.0,9.23,8.89,933360,842804692.5,3.82,1.01,0.09,2.31
2025-10-22,002129,8.96,8.84,9.07,8.8,761553,676068182.52,3.0,-1.78,-0.16,1.89
2025-10-23,002129,8.8,8.79,8.85,8.53,946098,820533883.94,3.62,-0.57,-0.05,2.34
2025-10-24,002129,8.81,8.75,9.0,8.7,805938,711185598.02,3.41,-0.46,-0.04,1.99
2025-10-27,002129,8.82,8.95,9.04,8.8,1020204,910000196.53,2.74,2.29,0.2,2.53
2025-10-28,002129,8.95,8.98,9.04,8.82,832797,744470365.09,2.46,0.34,0.03,2.06
2025-10-29,002129,8.92,9.58,9.75,8.9,2692363,2524402136.45,9.47,6.68,0.6,6.66
