date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2023-01-03,002141,4.02,4.19,4.22,4.02,173817,72440008.78,4.98,4.23,0.17,1.53
2023-01-04,002141,4.26,4.36,4.59,4.2,381955,168796782.94,9.31,4.06,0.17,3.37
2023-01-05,002141,4.34,4.41,4.53,4.34,162328,71520433.18,4.36,1.15,0.05,1.43
2023-01-06,002141,4.42,4.34,4.45,4.34,94423,41382488.0,2.49,-1.59,-0.07,0.83
2023-01-09,002141,4.33,4.65,4.77,4.32,686077,321246660.85,10.37,7.14,0.31,6.05
2023-01-10,002141,4.54,4.51,4.56,4.42,420108,188361372.2,3.01,-3.01,-0.14,3.7
2023-01-11,002141,4.47,4.37,4.5,4.36,198390,87402159.71,3.1,-3.1,-0.14,1.75
2023-01-12,002141,4.4,4.43,4.49,4.36,165644,73291636.2,2.97,1.37,0.06,1.46
2023-01-13,002141,4.45,4.4,4.45,4.38,107014,47231520.4,1.58,-0.68,-0.03,0.94
2023-01-16,002141,4.4,4.41,4.42,4.38,103025,45365773.57,0.91,0.23,0.01,0.91
2023-01-17,002141,4.42,4.39,4.42,4.36,69089,30294128.52,1.36,-0.45,-0.02,0.61
2023-01-18,002141,4.4,4.41,4.43,4.39,64068,28240722.24,0.91,0.46,0.02,0.56
2023-01-19,002141,4.39,4.42,4.43,4.38,60367,26588228.44,1.13,0.23,0.01,0.53
2023-01-20,002141,4.42,4.49,4.5,4.42,99364,44368143.46,1.81,1.58,0.07,0.88
2023-01-30,002141,4.54,4.62,4.65,4.53,168896,77847066.84,2.67,2.9,0.13,1.49
2023-01-31,002141,4.61,4.61,4.62,4.53,121270,55650819.66,1.95,-0.22,-0.01,1.07
2023-02-01,002141,4.61,4.72,4.73,4.55,169857,79632703.66,3.9,2.39,0.11,1.5
2023-02-02,002141,4.75,4.7,4.76,4.68,116182,54727211.43,1.69,-0.42,-0.02,1.02
2023-02-03,002141,4.69,4.68,4.69,4.6,109624,50985672.33,1.91,-0.43,-0.02,0.97
2023-02-06,002141,4.67,4.67,4.71,4.64,80213,37529370.18,1.5,-0.21,-0.01,0.71
2023-02-07,002141,4.66,4.72,4.72,4.65,84238,39536999.0,1.5,1.07,0.05,0.74
2023-02-08,002141,4.69,4.67,4.73,4.66,71995,33704389.96,1.48,-1.06,-0.05,0.63
2023-02-09,002141,4.65,4.72,4.72,4.63,73328,34410971.9,1.93,1.07,0.05,0.65
2023-02-10,002141,4.75,4.67,4.75,4.65,70708,33225852.68,2.12,-1.06,-0.05,0.62
2023-02-13,002141,4.66,4.73,4.75,4.66,116425,55075063.61,1.93,1.28,0.06,1.03
2023-02-14,002141,4.75,4.7,4.75,4.68,74073,34837104.9,1.48,-0.63,-0.03,0.65
2023-02-15,002141,4.68,4.73,4.73,4.67,74984,35249953.0,1.28,0.64,0.03,0.66
