date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2025-12-01,002352,37.88,37.99,37.99,37.68,261061,999446011.18,0.82,0.11,0.04,0.55
2025-12-02,002352,38.0,37.49,38.02,37.49,319632,1217011962.32,1.4,-1.32,-0.5,0.67
2025-12-03,002352,37.39,37.58,37.67,37.38,179308,680358814.75,0.77,0.24,0.09,0.38
2025-12-04,002352,37.56,37.44,37.58,37.25,147123,556559699.81,0.88,-0.37,-0.14,0.31
2025-12-05,002352,37.42,37.8,37.8,37.41,182838,696044329.82,1.04,0.96,0.36,0.38
2025-12-08,002352,37.88,37.66,37.92,37.6,190982,728229283.58,0.85,-0.37,-0.14,0.4
2025-12-09,002352,37.66,37.09,37.68,37.08,268996,1013814321.42,1.59,-1.51,-0.57,0.56
2025-12-10,002352,36.99,37.39,37.42,36.61,224018,838137235.61,2.18,0.81,0.3,0.47
2025-12-11,002352,37.28,36.66,37.38,36.62,275372,1024812607.69,2.03,-1.95,-0.73,0.58
2025-12-12,002352,36.76,37.01,37.06,36.66,241640,901612910.29,1.09,0.95,0.35,0.51
2025-12-15,002352,36.78,36.99,37.37,36.76,188234,706689246.46,1.65,-0.05,-0.02,0.39
2025-12-16,002352,36.99,37.21,37.27,36.78,184693,691848837.44,1.32,0.59,0.22,0.39
2025-12-17,002352,37.09,37.51,37.66,37.04,279456,1057142884.43,1.67,0.81,0.3,0.59
2025-12-18,002352,37.39,37.77,37.87,37.34,224105,854532952.25,1.41,0.69,0.26,0.47
2025-12-19,002352,37.78,37.43,37.95,37.43,287985,1097644462.11,1.38,-0.9,-0.34,0.6
2025-12-22,002352,37.55,37.89,37.93,37.5,224344,857544333.18,1.15,1.23,0.46,0.47
2025-12-23,002352,37.9,37.85,38.07,37.78,166979,639947830.65,0.77,-0.11,-0.04,0.35
2025-12-24,002352,37.81,37.77,37.94,37.66,118057,450693013.48,0.74,-0.21,-0.08,0.25
2025-12-25,002352,37.84,37.86,38.07,37.79,135792,520410501.71,0.74,0.24,0.09,0.28
2025-12-26,002352,37.86,38.07,38.2,37.81,184002,708345021.2,1.03,0.55,0.21,0.39
2025-12-29,002352,38.0,38.21,38.31,37.9,225058,868624943.1,1.08,0.37,0.14,0.47
2025-12-30,002352,38.21,37.96,38.24,37.87,143139,549688144.57,0.97,-0.65,-0.25,0.3
2025-12-31,002352,37.98,37.9,38.07,37.76,118572,454324635.96,0.82,-0.16,-0.06,0.25
2026-01-05,002352,37.9,37.83,37.93,37.66,225812,862651237.65,0.71,-0.18,-0.07,0.47
2026-01-06,002352,37.91,38.67,38.72,37.9,330164,1284228442.44,2.17,2.22,0.84,0.69
2026-01-07,002352,38.73,38.48,38.73,38.32,251824,979766429.74,1.06,-0.49,-0.19,0.53
2026-01-08,002352,38.38,38.48,38.48,38.23,193911,752147432.45,0.65,0.0,0.0,0.41
2026-01-09,002352,38.37,38.55,38.61,38.35,226113,880115361.19,0.68,0.18,0.07,0.47
2026-01-12,002352,38.59,38.59,38.75,38.39,279380,1088650344.15,0.93,0.1,0.04,0.59
2026-01-13,002352,38.63,38.51,38.95,38.33,296269,1156766695.08,1.61,-0.21,-0.08,0.62
2026-01-14,002352,38.4,38.13,38.78,38.0,311413,1209057740.03,2.03,-0.99,-0.38,0.65
2026-01-15,002352,38.48,38.77,39.51,38.46,474063,1870599118.8,2.75,1.68,0.64,0.99
2026-01-16,002352,38.8,38.39,38.98,38.18,309886,1204558432.32,2.06,-0.98,-0.38,0.65
2026-01-19,002352,38.39,38.46,38.54,37.96,307621,1188455269.94,1.51,0.18,0.07,0.64
2026-01-20,002352,38.46,39.38,39.66,38.29,615083,2441237443.05,3.56,2.39,0.92,1.29
2026-01-21,002352,39.43,39.08,39.58,38.99,313929,1244459097.94,1.5,-0.76,-0.3,0.66
2026-01-22,002352,39.1,39.25,39.66,39.09,304154,1210936064.21,1.46,0.44,0.17,0.64
2026-01-23,002352,39.3,38.73,39.38,38.6,406295,1595533506.21,1.99,-1.32,-0.52,0.85
2026-01-26,002352,38.73,38.33,38.74,38.14,358803,1393024108.86,1.55,-1.03,-0.4,0.75
2026-01-27,002352,38.42,37.44,38.44,37.43,398952,1521596888.53,2.64,-2.32,-0.89,0.84
2026-01-28,002352,37.45,37.26,37.57,37.14,389818,1470523507.59,1.15,-0.48,-0.18,0.82
2026-01-29,002352,37.23,37.7,37.84,36.89,367294,1388389744.42,2.55,1.18,0.44,0.77
2026-01-30,002352,37.74,37.08,37.84,36.97,294055,1108482719.16,2.31,-1.64,-0.62,0.62
2026-02-02,002352,37.08,36.94,37.3,36.83,234408,877878654.68,1.27,-0.38,-0.14,0.49
2026-02-03,002352,37.0,37.25,37.28,36.85,215981,809190045.26,1.16,0.84,0.31,0.45
2026-02-04,002352,37.18,38.05,38.16,37.08,370313,1414447754.18,2.9,2.15,0.8,0.78
2026-02-05,002352,38.03,38.8,39.14,37.93,543936,2137757101.57,3.18,1.97,0.75,1.14
2026-02-06,002352,38.59,38.44,39.0,38.35,289763,1130215566.46,1.68,-0.93,-0.36,0.61
2026-02-09,002352,38.61,38.55,38.68,38.37,228466,889312387.49,0.81,0.29,0.11,0.48
2026-02-10,002352,38.56,38.4,38.63,38.33,168994,657186133.93,0.78,-0.39,-0.15,0.35
2026-02-11,002352,38.39,38.14,38.43,38.02,202554,781443146.75,1.07,-0.68,-0.26,0.42
2026-02-12,002352,38.13,37.76,38.15,37.68,219261,838835848.28,1.23,-1.0,-0.38,0.46
2026-02-13,002352,37.71,37.42,37.71,37.37,190947,724598518.09,0.9,-0.9,-0.34,0.4
