日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-26,9.33,9.36,9.39,9.31,48844.0,45920831.0,0.86,0.32,0.03,0.18
2025-09-29,9.36,9.37,9.38,9.23,71891.0,67159560.0,1.6,0.11,0.01,0.27
2025-09-30,9.38,9.36,9.4,9.3,52869.0,49694550.0,1.07,-0.11,-0.01,0.2
2025-10-09,9.41,9.5,9.51,9.39,94520.0,89923570.0,1.28,1.5,0.14,0.35
2025-10-10,9.46,9.65,9.68,9.44,109332.0,105327398.0,2.53,1.58,0.15,0.41
2025-10-13,9.44,9.53,9.57,9.39,110615.0,105222085.0,1.87,-1.24,-0.12,0.41
2025-10-14,9.53,9.46,9.55,9.43,76467.0,72952519.0,1.26,-0.73,-0.07,0.29
2025-10-15,9.47,9.48,9.52,9.44,58349.0,55556684.0,0.85,0.21,0.02,0.22
2025-10-16,9.48,9.43,9.51,9.4,52723.0,50000587.0,1.16,-0.53,-0.05,0.2
2025-10-17,9.42,9.3,9.46,9.28,54791.0,51562258.0,1.91,-1.38,-0.13,0.2
2025-10-20,9.35,9.26,9.35,9.21,76373.0,71017855.0,1.51,-0.43,-0.04,0.28
2025-10-21,9.26,9.33,9.34,9.22,52150.0,48759297.0,1.3,0.76,0.07,0.19
2025-10-22,9.33,9.35,9.41,9.27,58851.0,55371495.0,1.5,0.21,0.02,0.22
2025-10-23,9.35,9.42,9.42,9.29,44673.0,42037494.0,1.39,0.75,0.07,0.17
2025-10-24,9.42,9.41,9.48,9.38,52197.0,49449912.0,1.06,-0.11,-0.01,0.19
2025-10-27,9.41,9.44,9.47,9.4,65093.0,61771512.0,0.74,0.32,0.03,0.24
2025-10-28,9.44,9.42,9.47,9.4,39720.0,37641076.0,0.74,-0.21,-0.02,0.15
2025-10-29,9.39,9.41,9.43,9.35,62691.0,59137324.0,0.85,-0.11,-0.01,0.23
2025-10-30,9.41,9.46,9.54,9.35,71765.0,68211970.0,2.02,0.53,0.05,0.27
2025-10-31,9.42,9.36,9.43,9.32,70901.0,66737618.0,1.16,-1.06,-0.1,0.26
2025-11-03,9.35,9.37,9.43,9.29,94851.0,89360441.0,1.5,0.11,0.01,0.35
2025-11-04,9.35,9.29,9.38,9.26,56542.0,52966754.0,1.28,-0.85,-0.08,0.21
2025-11-05,9.25,9.34,9.34,9.25,43988.0,41103223.0,0.97,0.54,0.05,0.16
2025-11-06,9.31,9.37,9.42,9.3,75329.0,70999186.0,1.28,0.32,0.03,0.28
2025-11-07,9.4,9.48,9.49,9.36,88862.0,84465929.0,1.39,1.17,0.11,0.33
2025-11-10,9.5,9.61,9.66,9.5,116435.0,112516733.0,1.69,1.37,0.13,0.43
2025-11-11,9.61,9.61,9.64,9.53,70149.0,67643973.0,1.14,0.0,0.0,0.26
2025-11-12,9.63,9.64,9.69,9.57,71154.0,69000005.0,1.25,0.31,0.03,0.27
2025-11-13,9.63,9.67,9.69,9.61,72682.0,70526644.0,0.83,0.31,0.03,0.27
2025-11-14,9.67,9.57,9.71,9.57,56966.0,55209279.0,1.45,-1.03,-0.1,0.21
